"Gene ID","source_id","Product Description","Gene Type","Input ID","Gene Name or Symbol","Computed GO Component IDs","Computed GO Components","Computed GO Function IDs","Computed GO Functions","Computed GO Process IDs","Computed GO Processes","Curated GO Component IDs","Curated GO Components","Curated GO Function IDs","Curated GO Functions","Curated GO Process IDs","Curated GO Processes"
"TGME49_217600","TGME49_217600-t26_1","calcium-dependent protein kinase CDPK9","protein coding gene","TGME49_017600","CDPK9","N/A","N/A","GO:0005524;GO:0005509;GO:0004683;GO:0004672","ATP binding;calcium ion binding;calmodulin-dependent protein kinase activity;protein kinase activity","GO:0006468","protein phosphorylation","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_217620","TGME49_217620-t26_1","hypothetical protein","protein coding gene","TGME49_017620","N/A","N/A","N/A","GO:0003723;GO:0003743","RNA binding;translation initiation factor activity","GO:0006413","translational initiation","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_217740","TGME49_217740-t26_1","3-ketoacyl-(acyl-carrier-protein) reductase","protein coding gene","TGME49_017740","N/A","N/A","N/A","GO:0004316;GO:0051287;GO:0102131;GO:0102132;GO:0016491","3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity;NAD binding;obsolete 3-oxo-glutaryl-[acp] methyl ester reductase activity;obsolete 3-oxo-pimeloyl-[acp] methyl ester reductase activity;oxidoreductase activity","GO:0006633;GO:0008152;GO:0055114","fatty acid biosynthetic process;metabolic process;obsolete oxidation-reduction process","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_218220","TGME49_218220-t26_1","cell-cycle-associated protein kinase CDK, putative","protein coding gene","TGME49_018220","N/A","N/A","N/A","GO:0005524;GO:0008353;GO:0004672","ATP binding;RNA polymerase II CTD heptapeptide repeat kinase activity;protein kinase activity","GO:0006468","protein phosphorylation","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_218270","TGME49_218270-t26_1","hypothetical protein","protein coding gene","TGME49_018270","N/A","GO:0016021","integral component of membrane","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_218490","TGME49_218490-t26_1","hypothetical protein","protein coding gene","TGME49_018490","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_218590","TGME49_218590-t26_1","protein phosphatase 2C domain-containing protein","protein coding gene","TGME49_018590","N/A","N/A","N/A","GO:0003824;GO:0004721;GO:0004722","catalytic activity;phosphoprotein phosphatase activity;protein serine/threonine phosphatase activity","GO:0006470","protein dephosphorylation","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_218720","TGME49_218720-t26_1","calcium-dependent protein kinase CDPK6","protein coding gene","TGME49_018720","CDPK6","GO:0016020","membrane","GO:0005524;GO:0005509;GO:0004687;GO:0016773;GO:0004672","ATP binding;calcium ion binding;myosin light chain kinase activity;phosphotransferase activity, alcohol group as acceptor;protein kinase activity","GO:0009103;GO:0006468","lipopolysaccharide biosynthetic process;protein phosphorylation","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_218830","TGME49_218830-t26_1","hypothetical protein","protein coding gene","TGME49_018830","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_218910","TGME49_218910-t26_1","hypothetical protein","protein coding gene","TGME49_018910","N/A","GO:0016021","integral component of membrane","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_219070","TGME49_219070-t26_1","cyclic nucleotide-binding domain-containing protein","protein coding gene","TGME49_019070","N/A","N/A","N/A","GO:0004692;GO:0005509","cGMP-dependent protein kinase activity;calcium ion binding","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_219320","TGME49_219320-t26_1","acid phosphatase GAP50","protein coding gene","TGME49_019320","GAP50","GO:0016021","integral component of membrane","GO:0003993","acid phosphatase activity","N/A","N/A","GO:0070258","inner membrane pellicle complex","N/A","N/A","N/A","N/A"
"TGME49_219640","TGME49_219640-t26_1","hypothetical protein","protein coding gene","TGME49_019640","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_219810","TGME49_219810-t26_1","hypothetical protein","protein coding gene","TGME49_019810","N/A","GO:0016021","integral component of membrane","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_220208","TGME49_220208-t26_1","hypothetical protein","protein coding gene","TGME49_020210","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_220212","TGME49_220212-t26_1","pseudouridine synthase","protein coding gene","TGME49_020210","N/A","N/A","N/A","GO:0003723;GO:0009982;GO:0106029","RNA binding;pseudouridine synthase activity;tRNA pseudouridine synthase activity","GO:0009451;GO:0001522","RNA modification;pseudouridine synthesis","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_220240","TGME49_220240-t26_1","hypothetical protein","protein coding gene","TGME49_020240","N/A","GO:0016021","integral component of membrane","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_220330","TGME49_220330-t26_1","hypothetical protein","protein coding gene","TGME49_020330","N/A","GO:0016021","integral component of membrane","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_220610","TGME49_220610-t26_1","protein phosphatase 2C domain-containing protein","protein coding gene","TGME49_020610","N/A","N/A","N/A","GO:0003824;GO:0004721;GO:0004722","catalytic activity;phosphoprotein phosphatase activity;protein serine/threonine phosphatase activity","GO:0006470","protein dephosphorylation","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_220860","TGME49_220860-t26_1","DEAD/DEAH box helicase","protein coding gene","TGME49_020860","N/A","N/A","N/A","GO:0005524;GO:0003677;GO:0004386;GO:0016787;GO:0003676","ATP binding;DNA binding;helicase activity;hydrolase activity;nucleic acid binding","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_220950","TGME49_220950-t26_1","hypothetical protein","protein coding gene","TGME49_020950","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_221180","TGME49_221180-t26_1","hypothetical protein","protein coding gene","TGME49_021180","N/A","GO:0016021","integral component of membrane","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_221330","TGME49_221330-t26_1","DNA gyrase/topoisomerase IV, A subunit domain-containing protein","protein coding gene","TGME49_021330","N/A","GO:0005694","chromosome","GO:0005524;GO:0003677;GO:0003916;GO:0003918","ATP binding;DNA binding;DNA topoisomerase activity;DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity","GO:0006259;GO:0006265","DNA metabolic process;DNA topological change","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_221350","TGME49_221350-t26_1","Ctr copper transporter family protein","protein coding gene","TGME49_021350","N/A","GO:0016021","integral component of membrane","GO:0005375","copper ion transmembrane transporter activity","GO:0035434","copper ion transmembrane transport","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_221500","TGME49_221500-t26_1","dual specificity phosphatase, catalytic domain-containing protein","protein coding gene","TGME49_021500","N/A","N/A","N/A","GO:0016791;GO:0004721;GO:0008138","phosphatase activity;phosphoprotein phosphatase activity;protein tyrosine/serine/threonine phosphatase activity","GO:0016311;GO:0006470","dephosphorylation;protein dephosphorylation","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_221550","TGME49_221550-t26_1","CMGC kinase, MAPK family, MEK kinase-related (incomplete catalytic triad)","protein coding gene","TGME49_021550","N/A","N/A","N/A","GO:0005524;GO:0004672","ATP binding;protein kinase activity","GO:0006468","protein phosphorylation","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_221590","TGME49_221590-t26_1","dual specificity phosphatase, catalytic domain-containing protein","protein coding gene","TGME49_021590","N/A","N/A","N/A","GO:0016791;GO:0004721;GO:0008138","phosphatase activity;phosphoprotein phosphatase activity;protein tyrosine/serine/threonine phosphatase activity","GO:0016311;GO:0006470","dephosphorylation;protein dephosphorylation","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_221640","TGME49_221640-t26_1","hypothetical protein","protein coding gene","TGME49_021640","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_222010","TGME49_222010-t26_1","HAD hydrolase, family IIID protein","protein coding gene","TGME49_022010","N/A","GO:0005634","nucleus","GO:0004721;GO:0005515","phosphoprotein phosphatase activity;protein binding","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_222040","TGME49_222040-t26_1","Ran-interacting Mog1 protein","protein coding gene","TGME49_022040","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_222100","TGME49_222100-t26_1","hypothetical protein","protein coding gene","TGME49_022100","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_222120","TGME49_222120-t26_1","hypothetical protein","protein coding gene","TGME49_022120","N/A","N/A","N/A","GO:0003723;GO:0009982","RNA binding;pseudouridine synthase activity","GO:0009451;GO:0001522","RNA modification;pseudouridine synthesis","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_222140","TGME49_222140-t26_1","DEAD/DEAH box helicase domain-containing protein","protein coding gene","TGME49_022140","N/A","N/A","N/A","GO:0005524;GO:0004386;GO:0003676","ATP binding;helicase activity;nucleic acid binding","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_222170","TGME49_222170-t26_1","dense-granule antigen DG32","protein coding gene","TGME49_022170","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_222270","TGME49_222270-t26_1","hypothetical protein","protein coding gene","TGME49_022270","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_222300","TGME49_222300-t26_1","hypothetical protein","protein coding gene","TGME49_022300","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_222310","TGME49_222310-t26_1","hypothetical protein","protein coding gene","TGME49_022310","N/A","GO:0016021","integral component of membrane","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_222940","TGME49_222940-t26_1","hypothetical protein","protein coding gene","TGME49_022940","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_223430","TGME49_223430-t26_1","hypothetical protein","protein coding gene","TGME49_023430","N/A","N/A","N/A","GO:0051537;GO:0016491","2 iron, 2 sulfur cluster binding;oxidoreductase activity","GO:0055114","obsolete oxidation-reduction process","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_223440","TGME49_223440-t26_1","DEAD/DEAH box helicase domain-containing protein","protein coding gene","TGME49_023440","N/A","N/A","N/A","GO:0005524;GO:0004386;GO:0003676","ATP binding;helicase activity;nucleic acid binding","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_224090","TGME49_224090-t26_1","enoyl-CoA hydratase/isomerase family protein","protein coding gene","TGME49_024090","N/A","GO:0005739","mitochondrion","GO:0003860;GO:0003824;GO:0016853","3-hydroxyisobutyryl-CoA hydrolase activity;catalytic activity;isomerase activity","GO:0008152;GO:0006574","metabolic process;valine catabolic process","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_224220","TGME49_224220-t26_1","serine/threonine-protein phosphatase PP2A catalytic subunit","protein coding gene","TGME49_024220","N/A","N/A","N/A","GO:0016787;GO:0004721","hydrolase activity;phosphoprotein phosphatase activity","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_224240","TGME49_224240-t26_1","protein phosphatase 2C domain-containing protein","protein coding gene","TGME49_024240","N/A","N/A","N/A","GO:0003824;GO:0004721;GO:0004722","catalytic activity;phosphoprotein phosphatase activity;protein serine/threonine phosphatase activity","GO:0006470","protein dephosphorylation","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_224280","TGME49_224280-t26_1","CPSF A subunit region protein","protein coding gene","TGME49_024280","N/A","GO:0016021;GO:0005634","integral component of membrane;nucleus","GO:0003676;GO:0005515","nucleic acid binding;protein binding","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_224340","TGME49_224340-t26_1","hypothetical protein","protein coding gene","TGME49_024340","N/A","GO:0016021","integral component of membrane","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_224460","TGME49_224460-t26_1","aminopeptidase n, putative","protein coding gene","TGME49_024460","N/A","N/A","N/A","GO:0004177;GO:0008237;GO:0008270","aminopeptidase activity;metallopeptidase activity;zinc ion binding","GO:0006508","proteolysis","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_224480","TGME49_224480-t26_1","cell-cycle-associated protein kinase CLK, putative","protein coding gene","TGME49_024480","N/A","N/A","N/A","GO:0005524;GO:0004672;GO:0004712","ATP binding;protein kinase activity;protein serine/threonine/tyrosine kinase activity","GO:0006468","protein phosphorylation","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_224920","TGME49_224920-t26_1","hypothetical protein","protein coding gene","TGME49_024920","N/A","GO:0016021","integral component of membrane","GO:0003824;GO:0016772","catalytic activity;transferase activity, transferring phosphorus-containing groups","GO:0006506","GPI anchor biosynthetic process","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_224950","TGME49_224950-t26_1","calcium-dependent protein kinase CDPK5","protein coding gene","TGME49_024950","CDPK5","N/A","N/A","GO:0005524;GO:0005509;GO:0004683;GO:0004672","ATP binding;calcium ion binding;calmodulin-dependent protein kinase activity;protein kinase activity","GO:0006468","protein phosphorylation","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_225050","TGME49_225050-t26_1","adenosylhomocysteinase, putative","protein coding gene","TGME49_025050","N/A","N/A","N/A","GO:0004013;GO:0048037;GO:0016616","adenosylhomocysteinase activity;obsolete cofactor binding;oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","GO:0055114;GO:0006730","obsolete oxidation-reduction process;one-carbon metabolic process","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_225150","TGME49_225150-t26_1","hypothetical protein","protein coding gene","TGME49_025150","N/A","GO:0016021","integral component of membrane","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_225160","TGME49_225160-t26_1","hypothetical protein","protein coding gene","TGME49_025160","N/A","GO:0016021","integral component of membrane","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_225200","TGME49_225200-t26_1","hypothetical protein","protein coding gene","TGME49_025200","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_225290","TGME49_225290-t26_1","GDA1/CD39 (nucleoside phosphatase) family protein","protein coding gene","TGME49_025290","N/A","N/A","N/A","GO:0005524;GO:0016787;GO:0017111","ATP binding;hydrolase activity;nucleoside-triphosphatase activity","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_225320","TGME49_225320-t26_1","hypothetical protein","protein coding gene","TGME49_025320","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_225330","TGME49_225330-t26_1","hypothetical protein","protein coding gene","TGME49_025330","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_225350","TGME49_225350-t26_1","hypothetical protein","protein coding gene","TGME49_025350","N/A","GO:0016021","integral component of membrane","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_225490","TGME49_225490-t26_1","calcium-dependent protein kinase CDPK2","protein coding gene","TGME49_025490","CDPK2","N/A","N/A","GO:0005524;GO:0005509;GO:0004683;GO:0030246;GO:0004672;GO:2001070","ATP binding;calcium ion binding;calmodulin-dependent protein kinase activity;carbohydrate binding;protein kinase activity;starch binding","GO:0006468","protein phosphorylation","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_225720","TGME49_225720-t26_1","hypothetical protein","protein coding gene","TGME49_025720","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_225810","TGME49_225810-t26_1","BIR protein","protein coding gene","TGME49_025810","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_225830","TGME49_225830-t26_1","hypothetical protein","protein coding gene","TGME49_025830","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_225980","TGME49_225980-t26_1","hypothetical protein","protein coding gene","TGME49_025980","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_226090","TGME49_226090-t26_1","DEAD/DEAH box helicase domain-containing protein","protein coding gene","TGME49_026090","N/A","N/A","N/A","GO:0005524;GO:0004386;GO:0003676","ATP binding;helicase activity;nucleic acid binding","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_226380","TGME49_226380-t26_1","hypothetical protein","protein coding gene","TGME49_026380","N/A","GO:0016021","integral component of membrane","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_226730","TGME49_226730-t26_1","aconitate hydratase ACN/IRP","protein coding gene","TGME49_026730","N/A","N/A","N/A","GO:0003994;GO:0047780;GO:0052633","aconitate hydratase activity;citrate dehydratase activity;isocitrate hydro-lyase (cis-aconitate-forming) activity","GO:0008152","metabolic process","GO:0020011;GO:0005739","apicoplast;mitochondrion","N/A","N/A","N/A","N/A"
"TGME49_226830","TGME49_226830-t26_1","DnaK family protein","protein coding gene","TGME49_026830","N/A","N/A","N/A","GO:0016887","ATP hydrolysis activity","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_226920","TGME49_226920-t26_1","hypothetical protein","protein coding gene","TGME49_026920","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_227010","TGME49_227010-t26_1","rhoptry kinase family protein ROP30","protein coding gene","TGME49_027010","ROP30","N/A","N/A","GO:0016301","kinase activity","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_227020","TGME49_227020-t26_1","histone deacetylase SIR2","protein coding gene","TGME49_027020","SIR2","N/A","N/A","GO:0003956;GO:0070403;GO:0008270","NAD(P)+-protein-arginine ADP-ribosyltransferase activity;NAD+ binding;zinc ion binding","GO:0006476","protein deacetylation","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_227150","TGME49_227150-t26_1","glutaredoxin, putative","protein coding gene","TGME49_027150","N/A","GO:0005623","obsolete cell","GO:0009055;GO:0015035","electron transfer activity;protein-disulfide reductase activity","GO:0045454","cell redox homeostasis","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_227280","TGME49_227280-t26_1","dense granule protein GRA3","protein coding gene","TGME49_027280","GRA3","GO:0016021","integral component of membrane","N/A","N/A","N/A","N/A","GO:0045177;GO:0020003","apical part of cell;symbiont-containing vacuole","N/A","N/A","N/A","N/A"
"TGME49_227370","TGME49_227370-t26_1","hydrolase CocE/NonD family protein","protein coding gene","TGME49_027370","N/A","GO:0016021","integral component of membrane","GO:0004177;GO:0008239;GO:0016787","aminopeptidase activity;dipeptidyl-peptidase activity;hydrolase activity","GO:0006508","proteolysis","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_227400","TGME49_227400-t26_1","hypothetical protein","protein coding gene","TGME49_027400","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_227410","TGME49_227410-t26_1","hypothetical protein","protein coding gene","TGME49_027410","N/A","GO:0016021","integral component of membrane","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_227620","TGME49_227620-t26_1","dense granule protein GRA2","protein coding gene","TGME49_027620","GRA2","N/A","N/A","N/A","N/A","N/A","N/A","GO:0045177;GO:0020003","apical part of cell;symbiont-containing vacuole","N/A","N/A","N/A","N/A"
"TGME49_227800","TGME49_227800-t26_1","EF hand domain-containing protein","protein coding gene","TGME49_027800","N/A","N/A","N/A","GO:0005509;GO:0005515","calcium ion binding;protein binding","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_227810","TGME49_227810-t26_1","rhoptry kinase family protein ROP11 (incomplete catalytic triad)","protein coding gene","TGME49_027810","ROP11","N/A","N/A","GO:0005524;GO:0004672","ATP binding;protein kinase activity","GO:0006468","protein phosphorylation","GO:0045177","apical part of cell","N/A","N/A","N/A","N/A"
"TGME49_227890","TGME49_227890-t26_1","hypothetical protein","protein coding gene","TGME49_027890","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_227930","TGME49_227930-t26_1","hypothetical protein","protein coding gene","TGME49_027930","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_228070","TGME49_228070-t26_1","hypothetical protein","protein coding gene","TGME49_028070","N/A","N/A","N/A","GO:0003676","nucleic acid binding","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_228130","TGME49_228130-t26_1","hypothetical protein","protein coding gene","TGME49_028130","N/A","N/A","N/A","GO:0008289","lipid binding","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_228250","TGME49_228250-t26_1","elongation factor Tu GTP binding domain-containing protein","protein coding gene","TGME49_028250","N/A","GO:0005622","intracellular anatomical structure","GO:0005525;GO:0003924;GO:0003746","GTP binding;GTPase activity;translation elongation factor activity","GO:0007264","small GTPase mediated signal transduction","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_228330","TGME49_228330-t26_1","NLI interacting factor family phosphatase","protein coding gene","TGME49_028330","N/A","N/A","N/A","GO:0008420;GO:0004721;GO:0005515","RNA polymerase II CTD heptapeptide repeat phosphatase activity;phosphoprotein phosphatase activity;protein binding","GO:0070940","dephosphorylation of RNA polymerase II C-terminal domain","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_228390","TGME49_228390-t26_1","hypothetical protein","protein coding gene","TGME49_028390","N/A","GO:0031932","TORC2 complex","N/A","N/A","GO:0031929","TOR signaling","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_228430","TGME49_228430-t26_1","hypothetical protein","protein coding gene","TGME49_028430","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_228750","TGME49_228750-t26_1","calcium dependent protein kinase CDPK7","protein coding gene","TGME49_028750","CDPK7","N/A","N/A","GO:0005524;GO:0005509;GO:0004687;GO:0004672","ATP binding;calcium ion binding;myosin light chain kinase activity;protein kinase activity","GO:0006468","protein phosphorylation","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_228770","TGME49_228770-t26_1","hypothetical protein","protein coding gene","TGME49_028770","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_229010","TGME49_229010-t26_1","rhoptry neck protein RON4","protein coding gene","TGME49_029010","RON4","N/A","N/A","N/A","N/A","N/A","N/A","GO:0045177;GO:0070258;GO:0020003","apical part of cell;inner membrane pellicle complex;symbiont-containing vacuole","N/A","N/A","N/A","N/A"
"TGME49_229020","TGME49_229020-t26_1","cell-cycle-associated protein kinase CDK, putative","protein coding gene","TGME49_029020","N/A","N/A","N/A","GO:0005524;GO:0008353;GO:0004672","ATP binding;RNA polymerase II CTD heptapeptide repeat kinase activity;protein kinase activity","GO:0006468","protein phosphorylation","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_229480","TGME49_229480-t26_1","calcium binding protein precursor, putative","protein coding gene","TGME49_029480","N/A","GO:0031012;GO:0016021","extracellular matrix;integral component of membrane","GO:0005509","calcium ion binding","GO:0007165","signal transduction","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_229500","TGME49_229500-t26_1","hypothetical protein","protein coding gene","TGME49_029500","N/A","GO:0016021","integral component of membrane","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_229630","TGME49_229630-t26_1","eIF2 kinase IF2K-A (incomplete catalytic triad)","protein coding gene","TGME49_029630","N/A","GO:0016021","integral component of membrane","GO:0005524;GO:0004715;GO:0004672","ATP binding;non-membrane spanning protein tyrosine kinase activity;protein kinase activity","GO:0006468","protein phosphorylation","GO:0005783;GO:0005634","endoplasmic reticulum;nucleus","N/A","N/A","N/A","N/A"
"TGME49_229680","TGME49_229680-t26_1","hypothetical protein","protein coding gene","TGME49_029680","N/A","GO:0016021","integral component of membrane","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_229920","TGME49_229920-t26_1","hypothetical protein","protein coding gene","TGME49_029920","N/A","GO:0016021","integral component of membrane","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_230040","TGME49_230040-t26_1","hypothetical protein","protein coding gene","TGME49_030040","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_230050","TGME49_230050-t26_1","50S ribosomal protein L3, putative","protein coding gene","TGME49_030050","N/A","GO:0005622;GO:0005840","intracellular anatomical structure;ribosome","GO:0003735","structural constituent of ribosome","GO:0006412","translation","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_230110","TGME49_230110-t26_1","hypothetical protein","protein coding gene","TGME49_030110","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_230180","TGME49_230180-t26_1","hypothetical protein","protein coding gene","TGME49_030180","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_230470","TGME49_230470-t26_1","rhoptry kinase family protein ROP46, putative","protein coding gene","TGME49_030470","N/A","N/A","N/A","GO:0005524;GO:0004672","ATP binding;protein kinase activity","GO:0006468","protein phosphorylation","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_230520","TGME49_230520-t26_1","cyclophilin 1, putative","protein coding gene","TGME49_030520","N/A","N/A","N/A","GO:0003755","peptidyl-prolyl cis-trans isomerase activity","GO:0006457;GO:0000413","protein folding;protein peptidyl-prolyl isomerization","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_230590","TGME49_230590-t26_1","chitobiosyldiphosphodolichol beta-mannosyltransferase","protein coding gene","TGME49_030590","N/A","GO:0016021","integral component of membrane","GO:0004578;GO:0000030","chitobiosyldiphosphodolichol beta-mannosyltransferase activity;mannosyltransferase activity","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_231090","TGME49_231090-t26_1","hypothetical protein","protein coding gene","TGME49_031090","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"TGME49_231180","TGME49_231180-t26_1","hypothetical protein","protein coding gene","TGME49_031180","N/A","GO:0016021","integral component of membrane","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
