ensembl_gene_id,Product.Description,Gene.Type,Input.ID,external_gene_name
TGME49-258780,OTU family cysteine protease,protein coding gene,TGME49_058780,N/A
TGME49-258800,rhoptry kinase family protein ROP31,protein coding gene,TGME49_058800,ROP31
TGME49-258820,hypothetical protein,protein coding gene,TGME49_058820,N/A
TGME49-258900,hypothetical protein,protein coding gene,TGME49_058900,N/A
TGME49-259630,hypothetical protein,protein coding gene,TGME49_059630,N/A
TGME49-259670,von Willebrand factor type A domain-containing protein,protein coding gene,TGME49_059670,N/A
TGME49-259700,hypothetical protein,protein coding gene,TGME49_059700,N/A
TGME49-260190,microneme protein MIC13,protein coding gene,TGME49_060190,MIC13
TGME49-260500,COPI associated protein, putative,protein coding gene,TGME49_060500,N/A
TGME49-260540,alveolin domain containing intermediate filament IMC14,protein coding gene,TGME49_060540,ALV9
TGME49-260550,acetyltransferase, GNAT family protein,protein coding gene,TGME49_060550,N/A
TGME49-260580,hypothetical protein,protein coding gene,TGME49_060580,N/A
TGME49-260820,IMC sub-compartment protein ISP1,protein coding gene,TGME49_060820,ISP1
TGME49-260830,hypothetical protein,protein coding gene,TGME49_060830,N/A
TGME49-261370,hypothetical protein,protein coding gene,TGME49_061370,N/A
TGME49-261740,hypothetical protein,protein coding gene,TGME49_061740,N/A
TGME49-261750,rhoptry neck protein RON10,protein coding gene,TGME49_061750,RON10
TGME49-262050,rhoptry kinase family protein ROP39,protein coding gene,TGME49_062050,ROP39
TGME49-262480,dynein light chain roadblock-type 2, putative,protein coding gene,TGME49_062480,N/A
TGME49-262490,alpha/beta hydrolase, putative,protein coding gene,TGME49_062490,N/A
TGME49-262500,hypothetical protein,protein coding gene,TGME49_062500,N/A
TGME49-262730,rhoptry protein ROP16,protein coding gene,TGME49_062730,ROP16
TGME49-262860,ADP-ribosylation factor family protein 1, putative,protein coding gene,TGME49_062860,N/A
TGME49-262920,trypsin domain-containing protein,protein coding gene,TGME49_062920,N/A
TGME49-262950,hypothetical protein,protein coding gene,TGME49_062950,N/A
TGME49-262970,hypothetical protein,protein coding gene,TGME49_062970,N/A
TGME49-263180,myosin D,protein coding gene,TGME49_063180,N/A
TGME49-263200,hypothetical protein,protein coding gene,TGME49_063200,N/A
TGME49-263520,microtubule associated protein SPM1,protein coding gene,TGME49_063520,SPM1
TGME49-264050,ubiquitin-conjugating enzyme subfamily protein,protein coding gene,TGME49_064050,N/A
TGME49-264485,AP2 domain transcription factor AP2IX-3,protein coding gene,TGME49_064590,AP2IX3
TGME49-264600,hypothetical protein,protein coding gene,TGME49_064600,N/A
TGME49-264990,hypothetical protein,protein coding gene,TGME49_064990,N/A
TGME49-265070,hypothetical protein,protein coding gene,TGME49_065070,N/A
TGME49-265080,Tubulin-tyrosine ligase family protein,protein coding gene,TGME49_065080,N/A
TGME49-265140,hypothetical protein,protein coding gene,TGME49_065140,N/A
TGME49-265230,electron transfer flavoprotein-ubiquinone oxidoreductase,protein coding gene,TGME49_065230,N/A
TGME49-265320,hypothetical protein,protein coding gene,TGME49_065320,N/A
TGME49-265420,hypothetical protein,protein coding gene,TGME49_065420,N/A
TGME49-265790,hypothetical protein,protein coding gene,TGME49_065790,N/A
TGME49-266090,hypothetical protein,protein coding gene,TGME49_066090,N/A
TGME49-266300,hypothetical protein,protein coding gene,TGME49_066300,N/A
TGME49-266630,hypothetical protein,protein coding gene,TGME49_066630,N/A
TGME49-266860,BTB/POZ domain-containing protein,protein coding gene,TGME49_066860,N/A
TGME49-266890,hypothetical protein,protein coding gene,TGME49_066890,N/A
TGME49-267070,aquaporin 2,protein coding gene,TGME49_067070,N/A
TGME49-267130,SAG-related sequence SRS38A,protein coding gene,TGME49_067130,SRS38A
TGME49-267140,SAG-related sequence SRS38B,protein coding gene,TGME49_067140,SRS38B
TGME49-267150,SAG-related sequence SRS38C,protein coding gene,TGME49_067150,SRS38C
TGME49-267300,hypothetical protein,protein coding gene,TGME49_067300,N/A
TGME49-267500,hypothetical protein,protein coding gene,TGME49_067500,N/A
TGME49-267620,multi-pass transmembrane protein,protein coding gene,TGME49_067620,N/A
TGME49-267670,hypothetical protein,protein coding gene,TGME49_067670,N/A
TGME49-267680,microneme protein MIC12,protein coding gene,TGME49_067680,MIC12
TGME49-268000,hypothetical protein,protein coding gene,TGME49_068000,N/A
TGME49-268430,hypothetical protein,protein coding gene,TGME49_068430,N/A
TGME49-268680,hypothetical protein,protein coding gene,TGME49_068680,N/A
TGME49-268760,hypothetical protein,protein coding gene,TGME49_068760,N/A
TGME49-268870,tetratricopeptide repeat-containing protein,protein coding gene,TGME49_068870,N/A
TGME49-268880,hypothetical protein,protein coding gene,TGME49_068880,N/A
TGME49-268970,hypothetical protein,protein coding gene,TGME49_068970,N/A
TGME49-269240,actin-like family protein,protein coding gene,TGME49_069240,N/A
TGME49-269330,hypothetical protein,protein coding gene,TGME49_069330,N/A
TGME49-269340,hypothetical protein,protein coding gene,TGME49_069340,N/A
TGME49-269588,hypothetical protein,protein coding gene,TGME49_069590,N/A
TGME49-269600,biotin-requiring enzyme domain-containing protein,protein coding gene,TGME49_069600,N/A
TGME49-269730,myosin-light-chain kinase,protein coding gene,TGME49_069730,N/A
TGME49-269830,RAP domain-containing protein,protein coding gene,TGME49_069830,N/A
TGME49-269885,rhoptry metalloprotease toxolysin TLN1,protein coding gene,TGME49_069890,TLN1
TGME49-269930,calcium binding egf domain-containing protein,protein coding gene,TGME49_069930,N/A
TGME49-269960,14-3-3 superfamily protein,protein coding gene,TGME49_069960,N/A
TGME49-270200,hypothetical protein,protein coding gene,TGME49_070200,N/A
TGME49-270260,hypothetical protein,protein coding gene,TGME49_070260,N/A
TGME49-270890,hypothetical protein,protein coding gene,TGME49_070890,N/A
TGME49-271000,hypothetical protein,protein coding gene,TGME49_071000,N/A
TGME49-271010,hypothetical protein,protein coding gene,TGME49_071010,N/A
TGME49-271260,hypothetical protein,protein coding gene,TGME49_071260,N/A
TGME49-271270,hypothetical protein,protein coding gene,TGME49_071270,N/A
TGME49-271320,hypothetical protein,protein coding gene,TGME49_071320,N/A
TGME49-271440,NPL4 family protein,protein coding gene,TGME49_071440,N/A
TGME49-271770,hypothetical protein,protein coding gene,TGME49_071770,N/A
TGME49-271840,hypothetical protein,protein coding gene,TGME49_071840,N/A
TGME49-271930,hypothetical protein,protein coding gene,TGME49_071930,N/A
TGME49-271970,glideosome-associated protein with multiple-membrane spans GAPM3,protein coding gene,TGME49_071970,N/A
TGME49-272210,hypothetical protein,protein coding gene,TGME49_072210,N/A
TGME49-272640,eukaryotic initiation factor-2B, epsilon subunit, putative,protein coding gene,TGME49_072640,N/A
TGME49-272650,3'5'-cyclic nucleotide phosphodiesterase domain-containing protein,protein coding gene,TGME49_072650,N/A
TGME49-273110,SAG-related sequence SRS30D,protein coding gene,TGME49_073110,SRS30D
TGME49-273130,SAG-related sequence SRS30A,protein coding gene,TGME49_073130,SRS30A
TGME49-273310,hypothetical protein,protein coding gene,TGME49_073310,N/A
TGME49-273560,kinesin heavy chain, putative,protein coding gene,TGME49_073560,N/A
TGME49-273970,CorA family Mg2+ transporter protein,protein coding gene,TGME49_073970,N/A
TGME49-275460,hypothetical protein,protein coding gene,TGME49_075460,N/A
TGME49-275610,protein kinase, other,protein coding gene,TGME49_075610,N/A
TGME49-275670,alveolin domain containing intermediate filament IMC15,protein coding gene,TGME49_075670,ALV5
TGME49-276155,hypothetical protein,protein coding gene,TGME49_076160,N/A
TGME49-276210,phosphoglycerate mutase family protein,protein coding gene,TGME49_076210,N/A
TGME49-276920,protein phosphatase 2C domain-containing protein,protein coding gene,TGME49_076920,N/A
TGME49-277230,hypothetical protein,protein coding gene,TGME49_077230,N/A
TGME49-277540,hypothetical protein,protein coding gene,TGME49_077540,N/A
TGME49-277720,GDA1/CD39 (nucleoside phosphatase) family protein,protein coding gene,TGME49_077720,N/A
TGME49-277810,hypothetical protein,protein coding gene,TGME49_077810,N/A
TGME49-278090,Toxoplasma gondii family A protein,protein coding gene,TGME49_078090,N/A
TGME49-278100,Toxoplasma gondii family A protein,protein coding gene,TGME49_078100,N/A
TGME49-278120,SCP family extracellular subfamily protein,protein coding gene,TGME49_078120,N/A
TGME49-278130,hypothetical protein,protein coding gene,TGME49_078130,N/A
TGME49-278390,Toxoplasma gondii family A protein,protein coding gene,TGME49_078390,N/A
TGME49-278400,Toxoplasma gondii family A protein,protein coding gene,TGME49_078400,N/A
TGME49-278510,protein phosphatase 2C domain-containing protein,protein coding gene,TGME49_078510,N/A
TGME49-278580,hypothetical protein,protein coding gene,TGME49_078580,N/A
TGME49-278700,hypothetical protein,protein coding gene,TGME49_078700,N/A
TGME49-278815,hypothetical protein,protein coding gene,TGME49_078820,N/A
TGME49-278850,DHHC zinc finger domain-containing protein,protein coding gene,TGME49_078850,N/A
TGME49-278910,O-acetylserine (thiol) lyase 2, putative,protein coding gene,TGME49_078910,N/A
TGME49-278920,hypothetical protein,protein coding gene,TGME49_078920,N/A
TGME49-279420,hypothetical protein,protein coding gene,TGME49_079420,N/A
TGME49-280470,AP2 domain transcription factor AP2VIIa-1,protein coding gene,TGME49_080470,AP2VIIA1
TGME49-280480,EF hand domain-containing protein,protein coding gene,TGME49_080480,N/A
TGME49-280570,SAG-related sequence SRS35A,protein coding gene,TGME49_080570,SRS35A
TGME49-280670,hypothetical protein,protein coding gene,TGME49_080670,N/A
TGME49-280770,regulator of chromosome condensation (RCC1) repeat-containing protein,protein coding gene,TGME49_080770,N/A
TGME49-281600,hypothetical protein,protein coding gene,TGME49_081600,N/A
TGME49-281650,hypothetical protein,protein coding gene,TGME49_081650,N/A
TGME49-281930,SAG-related sequence SRS39,protein coding gene,TGME49_081930,SRS39
TGME49-281960,hypothetical protein,protein coding gene,TGME49_081960,N/A
TGME49-282000,hypothetical protein,protein coding gene,TGME49_082000,N/A
TGME49-282055,protein phosphatase PP2C-hn,protein coding gene,TGME49_082050, TGME49_082060,PP2CHN
TGME49-282070,hypothetical protein,protein coding gene,TGME49_082070,N/A
TGME49-282210,AP2 domain transcription factor AP2VIIa-8,protein coding gene,TGME49_082210,AP2VIIA8
TGME49-283510,hypothetical protein,protein coding gene,TGME49_083510,N/A
TGME49-283810,hypothetical protein,protein coding gene,TGME49_083810,N/A
TGME49-285150,hypothetical protein,protein coding gene,TGME49_085150,N/A
TGME49-285290,hypothetical protein,protein coding gene,TGME49_085290,N/A
TGME49-285425,hypothetical protein,protein coding gene,TGME49_085430,N/A
TGME49-285650,hypothetical protein,protein coding gene,TGME49_085650,N/A
TGME49-285670,hypothetical protein,protein coding gene,TGME49_085670,N/A
TGME49-285860,SAG-related sequence SRS20C,protein coding gene,TGME49_085860,SRS20C
TGME49-285870,SAG-related sequence SRS20A,protein coding gene,TGME49_085870,SRS20A
TGME49-285930,hypothetical protein,protein coding gene,TGME49_085930,N/A
TGME49-286030,hypothetical protein,protein coding gene,TGME49_086030,N/A
TGME49-286460,hypothetical protein,protein coding gene,TGME49_086460,N/A
TGME49-286500,hypothetical protein,protein coding gene,TGME49_086500,N/A
TGME49-286580,hypothetical protein,protein coding gene,TGME49_086580,N/A
TGME49-286590,microtubule associated protein SPM2,protein coding gene,TGME49_086590,SPM2
TGME49-286600,hypothetical protein,protein coding gene,TGME49_086600,N/A
TGME49-286670,hypothetical protein,protein coding gene,TGME49_086670,N/A
TGME49-286740,microneme-like protein,protein coding gene,TGME49_086740,N/A
TGME49-286770,hypothetical protein,protein coding gene,TGME49_086770,N/A
TGME49-287040,hypothetical protein,protein coding gene,TGME49_087040,N/A
TGME49-287220,hypothetical protein,protein coding gene,TGME49_087220,N/A
TGME49-287960,hypothetical protein,protein coding gene,TGME49_087960,N/A
TGME49-287970,hypothetical protein,protein coding gene,TGME49_087970,N/A
TGME49-288030,hypothetical protein,protein coding gene,TGME49_088030,N/A
TGME49-288950,AP2 domain transcription factor AP2IX-4,protein coding gene,TGME49_088950,AP2IX4
TGME49-289050,FIKK kinase, putative,protein coding gene,TGME49_089050,N/A
TGME49-289150,hypothetical protein,protein coding gene,TGME49_089150,N/A
TGME49-289370,hypothetical protein,protein coding gene,TGME49_089370,N/A
TGME49-289600,heat shock protein HSP29,protein coding gene,TGME49_089600,HSP29
TGME49-289760,hypothetical protein,protein coding gene,TGME49_089760,N/A
TGME49-289880,hypothetical protein,protein coding gene,TGME49_089880,N/A
TGME49-289910,hypothetical protein,protein coding gene,TGME49_089910,N/A
TGME49-289920,hypothetical protein,protein coding gene,TGME49_089920,N/A
TGME49-289970,hypothetical protein,protein coding gene,TGME49_089970,N/A
TGME49-289980,HAD hydrolase, family IIA protein,protein coding gene,TGME49_089980,N/A
TGME49-290000,hypothetical protein,protein coding gene,TGME49_090000,N/A
TGME49-290170,kelch repeat domain containing/Serine/threonine protein phosphatase protein,protein coding gene,TGME49_090170,N/A
TGME49-290200,NAD/NADP octopine/nopaline dehydrogenase, alpha-helical domain-containing protein,protein coding gene,TGME49_090200,N/A
TGME49-290300,hypothetical protein,protein coding gene,TGME49_090300,N/A
TGME49-291030,zinc finger, C3HC4 type (RING finger) domain-containing protein,protein coding gene,TGME49_091030,N/A
TGME49-291050,histone kinase SNF1, putative,protein coding gene,TGME49_091050,N/A
TGME49-291650,hypothetical protein,protein coding gene,TGME49_091650,N/A
TGME49-291800,ADP-ribosylation factor family protein,protein coding gene,TGME49_091800,N/A
TGME49-291880,hypothetical protein,protein coding gene,TGME49_091880,N/A
TGME49-291960,rhoptry kinase family protein ROP40 (incomplete catalytic triad),protein coding gene,TGME49_091960,ROP40
TGME49-292110,formate/nitrite transporter protein,protein coding gene,TGME49_092110,N/A
TGME49-292260,SAG-related sequence SRS36B,protein coding gene,TGME49_092260,SAG5D
TGME49-292330,hypothetical protein,protein coding gene,TGME49_092330,N/A
TGME49-292950,hypothetical protein,protein coding gene,TGME49_092950,N/A
TGME49-293240,triacylglycerol lipase,protein coding gene,TGME49_093240,N/A
TGME49-293360,hypothetical protein,protein coding gene,TGME49_093360,N/A
TGME49-293420,transporter, major facilitator family protein,protein coding gene,TGME49_093420,N/A
TGME49-293430,hypothetical protein,protein coding gene,TGME49_093430,N/A
TGME49-293440,hypothetical protein,protein coding gene,TGME49_093440,N/A
TGME49-293510,poly(ADP-ribose) polymerase and DNA-Ligase Zn-finger region domain-containing protein,protein coding gene,TGME49_093510,N/A
TGME49-293540,hypothetical protein,protein coding gene,TGME49_093540,N/A
TGME49-293720,hypothetical protein,protein coding gene,TGME49_093720,N/A
TGME49-293760,EF hand domain-containing protein,protein coding gene,TGME49_093760,N/A
TGME49-293790,hypothetical protein,protein coding gene,TGME49_093790,N/A
TGME49-293900,sporozoite protein with an altered thrombospondin repeat SPATR,protein coding gene,TGME49_093900,N/A
TGME49-294330,EGF family domain-containing protein,protein coding gene,TGME49_094330,N/A
TGME49-294340,hypothetical protein,protein coding gene,TGME49_094340,N/A
TGME49-294390,myosin light chain MLC4, putative,protein coding gene,TGME49_094390,N/A
TGME49-294560,rhoptry kinase family protein ROP37 (incomplete catalytic triad),protein coding gene,TGME49_094560,ROP37
TGME49-294610,histone lysine methyltransferase, SET, putative,protein coding gene,TGME49_094610,N/A
TGME49-294690,rhomboid protease ROM5,protein coding gene,TGME49_094690,ROM5
TGME49-294790,hypothetical protein,protein coding gene,TGME49_094790,N/A
TGME49-294820,type I fatty acid synthase, putative,protein coding gene,TGME49_094820,N/A
TGME49-295100,hypothetical protein,protein coding gene,TGME49_095100,N/A
TGME49-295110,rhoptry protein ROP7,protein coding gene,TGME49_095110,ROP7
TGME49-295360,hypothetical protein,protein coding gene,TGME49_095360,N/A
TGME49-295420,hypothetical protein,protein coding gene,TGME49_095420,N/A
TGME49-295620,hypothetical protein,protein coding gene,TGME49_095620,N/A
TGME49-295630,hypothetical protein,protein coding gene,TGME49_095630,N/A
TGME49-297070,hypothetical protein,protein coding gene,TGME49_097070,N/A
TGME49-297160,hypothetical protein,protein coding gene,TGME49_097160,N/A
TGME49-297180,hypothetical protein,protein coding gene,TGME49_097180,N/A
TGME49-297670,hypothetical protein,protein coding gene,TGME49_097670,N/A
TGME49-297710,hypothetical protein,protein coding gene,TGME49_097710,N/A
TGME49-297850,Branched-chain-amino-acid aminotransferase,protein coding gene,TGME49_097850,N/A
TGME49-297870,hypothetical protein,protein coding gene,TGME49_097870,N/A
TGME49-297910,hypothetical protein,protein coding gene,TGME49_097910,N/A
TGME49-297960,rhoptry neck protein RON6,protein coding gene,TGME49_097960,RON6
TGME49-298010,hypothetical protein,protein coding gene,TGME49_098010,N/A
TGME49-299060,sodium/hydrogen exchanger NHE2,protein coding gene,TGME49_099060,N/A
TGME49-299180,prenylated protein, putative,protein coding gene,TGME49_099180,N/A
TGME49-299190,B-box zinc finger domain-containing protein,protein coding gene,TGME49_099190,N/A
TGME49-299970,tetratricopeptide repeat-containing protein,protein coding gene,TGME49_099970,N/A
TGME49-300010,hypothetical protein,protein coding gene,TGME49_100010,N/A
TGME49-300048,hypothetical protein,protein coding gene,TGME49_100050,N/A
TGME49-300100,rhoptry neck protein RON2,protein coding gene,TGME49_100100,RON2
TGME49-300120,aminotransferase, class V superfamily protein,protein coding gene,TGME49_100120,N/A
TGME49-300130,apical membrane antigen 1 domain-containing protein,protein coding gene,TGME49_100130,N/A
TGME49-300220,hypothetical protein,protein coding gene,TGME49_100220,N/A
TGME49-300360,ADP/ATP translocase,protein coding gene,TGME49_100360,N/A
TGME49-301170,SAG-related sequence SRS19D,protein coding gene,TGME49_101170,SRS19D
TGME49-301420,hypothetical protein,protein coding gene,TGME49_101420,N/A
TGME49-304460,zinc finger, C3HC4 type (RING finger) domain-containing protein,protein coding gene,TGME49_104460,N/A
TGME49-304490,hypothetical protein,protein coding gene,TGME49_104490,N/A
TGME49-304670,leucine rich repeat-containing protein,protein coding gene,TGME49_104670,N/A
TGME49-304680,ubiquitin family protein,protein coding gene,TGME49_104680,N/A
TGME49-304730,Mob1/phocein family protein,protein coding gene,TGME49_104730,N/A
TGME49-304900,hypothetical protein,protein coding gene,TGME49_104900,N/A
TGME49-305050,calmodulin, putative,protein coding gene,TGME49_105050,N/A
TGME49-305060,CAP-Gly domain-containing protein,protein coding gene,TGME49_105060,N/A
TGME49-305250,hypothetical protein,protein coding gene,TGME49_105250,N/A
TGME49-305270,hypothetical protein,protein coding gene,TGME49_105270,N/A
TGME49-305510,hypothetical protein,protein coding gene,TGME49_105510,N/A
TGME49-305590,ABC transporter transmembrane region domain-containing protein,protein coding gene,TGME49_105590,N/A
TGME49-306060,rhoptry neck protein RON8,protein coding gene,TGME49_106060,RON8
TGME49-306070,hypothetical protein,protein coding gene,TGME49_106070,N/A
TGME49-306490,hypothetical protein,protein coding gene,TGME49_106490,N/A
TGME49-306510,hypothetical protein,protein coding gene,TGME49_106510,N/A
TGME49-306920,hypothetical protein,protein coding gene,TGME49_106920,N/A
TGME49-307020,hypothetical protein,protein coding gene,TGME49_107020,N/A
TGME49-307800,GDA1/CD39 (nucleoside phosphatase) family protein,protein coding gene,TGME49_107800,N/A
TGME49-308010,hypothetical protein,protein coding gene,TGME49_108010,N/A
TGME49-308840,SAG-related sequence SRS51,protein coding gene,TGME49_108840,SRS51
TGME49-308860,hypothetical protein,protein coding gene,TGME49_108860,N/A
TGME49-309030,hypothetical protein,protein coding gene,TGME49_109030,N/A
TGME49-309040,hypothetical protein,protein coding gene,TGME49_109040,N/A
TGME49-309352,SAG-related sequence SRS55N,protein coding gene,TGME49_109350,SRS55N
TGME49-309410,AP2 domain transcription factor AP2XI-1,protein coding gene,TGME49_109410,AP2XI1
TGME49-309560,nmda receptor glutamate-binding chain,protein coding gene,TGME49_109560,N/A
TGME49-309590,rhoptry protein ROP1,protein coding gene,TGME49_109590,ROP1
TGME49-309720,hypothetical protein,protein coding gene,TGME49_109720,N/A
TGME49-309850,insulin-degrading enzyme,protein coding gene,TGME49_109850,N/A
TGME49-309930,melibiase subfamily protein,protein coding gene,TGME49_109930,N/A
TGME49-309990,hypothetical protein,protein coding gene,TGME49_109990,N/A
TGME49-310010,rhoptry neck protein RON1,protein coding gene,TGME49_110010,RON1
TGME49-310070,methyltransferase, putative,protein coding gene,TGME49_110070,N/A
TGME49-310160,argonaute AGO,protein coding gene,TGME49_110160,AGO
TGME49-310220,hypothetical protein,protein coding gene,TGME49_110220,N/A
TGME49-310230,hypothetical protein,protein coding gene,TGME49_110230,N/A
TGME49-310240,hypothetical protein,protein coding gene,TGME49_110240,N/A
TGME49-310420,hypothetical protein,protein coding gene,TGME49_110420,N/A
TGME49-310620,starch binding domain-containing protein,protein coding gene,TGME49_110620,N/A
TGME49-310740,hypothetical protein,protein coding gene,TGME49_110740,N/A
TGME49-310810,apyrase,protein coding gene,TGME49_110810,N/A
TGME49-310970,hypothetical protein,protein coding gene,TGME49_110970,N/A
TGME49-311010,hypothetical protein,protein coding gene,TGME49_111010,N/A
TGME49-311230,hypothetical protein,protein coding gene,TGME49_111230,N/A
TGME49-311260,myosin light chain MLC1, putative,protein coding gene,TGME49_111260,N/A
TGME49-311310,protein phosphatase 2B catalytic subunit, calcineurin family phosphatse superfamily protein,protein coding gene,TGME49_111310,N/A
TGME49-311380,hypothetical protein,protein coding gene,TGME49_111380,N/A
TGME49-311470,rhoptry neck protein RON5,protein coding gene,TGME49_111470,RON5
TGME49-311480,hypothetical protein,protein coding gene,TGME49_111480,N/A
TGME49-311770,hypothetical protein,protein coding gene,TGME49_111770,N/A
TGME49-311840,hypothetical protein,protein coding gene,TGME49_111840,N/A
TGME49-311880,hypothetical protein,protein coding gene,TGME49_111880,N/A
TGME49-311890,hypothetical protein,protein coding gene,TGME49_111890,N/A
TGME49-312100,plasma membrane-type Ca(2+)-ATPase A1 PMCAA1,protein coding gene,TGME49_112100,PMCAA1
TGME49-312150,hypothetical protein,protein coding gene,TGME49_112150,N/A
TGME49-312580,hypothetical protein,protein coding gene,TGME49_112580,N/A
TGME49-312950,hypothetical protein,protein coding gene,TGME49_112950,N/A
TGME49-313290,MORN repeat-containing protein,protein coding gene,TGME49_113290,N/A
TGME49-313330,rhoptry kinase family protein ROP27,protein coding gene,TGME49_113330,ROP27
TGME49-313380,hypothetical protein,protein coding gene,TGME49_113380,N/A
TGME49-313440,hypothetical protein,protein coding gene,TGME49_113440,N/A
TGME49-313480,hypothetical protein,protein coding gene,TGME49_113480,N/A
TGME49-313780,hypothetical protein,protein coding gene,TGME49_113780,N/A
TGME49-314055,splicing factor, putative,protein coding gene,TGME49_114060,N/A
TGME49-314250,bradyzoite rhoptry protein BRP1,protein coding gene,TGME49_114250,BRP1
TGME49-314260,hypothetical protein,protein coding gene,TGME49_114260,N/A
TGME49-314780,myosin G,protein coding gene,TGME49_114780,N/A
TGME49-315210,rhoptry protein, putative,protein coding gene,TGME49_115210,N/A
TGME49-315220,rhoptry protein ROP14,protein coding gene,TGME49_115220,ROP14
TGME49-315300,transcription factor IIB, putative,protein coding gene,TGME49_115300,N/A
TGME49-315410,SAG-related sequence SRS53F,protein coding gene,TGME49_115410,SRS53F
TGME49-315470,hypothetical protein,protein coding gene,TGME49_115470,N/A
TGME49-315490,rhoptry protein ROP10,protein coding gene,TGME49_115490,ROP10
TGME49-315500,hypothetical protein,protein coding gene,TGME49_115500,N/A
TGME49-315510,hypothetical protein,protein coding gene,TGME49_115510,N/A
TGME49-315560,ATP-binding cassette G family transporter ABCG77,protein coding gene,TGME49_115560,ABCG77
TGME49-315580,hypothetical protein,protein coding gene,TGME49_115580,N/A
TGME49-315710,hypothetical protein,protein coding gene,TGME49_115710,N/A
TGME49-315750,hypothetical protein,protein coding gene,TGME49_115750,N/A
TGME49-315760,AP2 domain transcription factor AP2XI-4,protein coding gene,TGME49_115760,AP2XI4
TGME49-315770,cytochrome p450 superfamily protein,protein coding gene,TGME49_115770,N/A
TGME49-315780,myosin regulatory light chain, putative,protein coding gene,TGME49_115780,N/A
TGME49-315950,zinc finger, C3HC4 type (RING finger) domain-containing protein,protein coding gene,TGME49_115950,N/A
TGME49-315980,EREBP-4 family protein,protein coding gene,TGME49_115980,N/A
TGME49-316260,hypothetical protein,protein coding gene,TGME49_116260,N/A
TGME49-316280,transporter, major facilitator family protein,protein coding gene,TGME49_116280,N/A
TGME49-316290,hypothetical protein,protein coding gene,TGME49_116290,N/A
TGME49-316340,hypothetical protein,protein coding gene,TGME49_116340,N/A
TGME49-316400,alpha tubulin TUBA1,protein coding gene,TGME49_116400,TUBA1
TGME49-316540,IMC sub-compartment protein ISP3,protein coding gene,TGME49_116540,ISP3
TGME49-316550,hypothetical protein,protein coding gene,TGME49_116550,N/A
TGME49-317705,enoyl-CoA hydratase/isomerase family protein,protein coding gene,TGME49_117700, TGME49_117710,N/A
TGME49-318430,malate dehydrogenase MDH,protein coding gene,TGME49_118430,MDH
TGME49-318470,AP2 domain transcription factor AP2IV-4,protein coding gene,TGME49_118470,AP2IV4
TGME49-318525,hypothetical protein,protein coding gene,TGME49_118530,N/A
TGME49-318560,ATPase/histidine kinase/DNA gyrase B/HSP90 domain-containing protein,protein coding gene,TGME49_118560,N/A
TGME49-318675,3'5'-cyclic nucleotide phosphodiesterase domain-containing protein,protein coding gene,TGME49_118680,N/A
TGME49-318880,hypothetical protein,protein coding gene,TGME49_118880,N/A
TGME49-319560,microneme protein MIC3,protein coding gene,TGME49_119560,MIC3
TGME49-319900,hypothetical protein,protein coding gene,TGME49_119900,N/A
TGME49-320030,hypothetical protein,protein coding gene,TGME49_120030,N/A
TGME49-320170,SAG-related sequence SRS16E,protein coding gene,TGME49_120170,SRS6
TGME49-320190,SAG-related sequence SRS16B,protein coding gene,TGME49_120190,SRS9
TGME49-320230,SAG-related sequence SRS15C,protein coding gene,TGME49_120230,SRS15C
TGME49-320515,hypothetical protein,protein coding gene,TGME49_120520,N/A
TGME49-320740,hypothetical protein,protein coding gene,TGME49_120740,N/A
TGME49-321480,SAG-related sequence SRS12B,protein coding gene,TGME49_121480,SRS12B
TGME49-321600,hypothetical protein,protein coding gene,TGME49_121600,N/A
TGME49-321650,hypothetical protein,protein coding gene,TGME49_121650,N/A
